"videoId","title","author","viewCount","likes","dislikes","tags","lengthSeconds","ImageClasses","TextDensity","Liveliness","SubjectSize","BGLightingRatio","Brightness","BGColorSimplicity","VoiceFrequencies","NonVoiceFrequencies","IsEducational"
"X32dce7_D48","Why is 0! = 1?","Eddie Woo",1638168,41677,1021,"[]",365,"{}","0.00000000000","0.49050486963660056","0.18628790442124268","0.20989078904190192","167.50536714117695","0.6784613497089025","9.705972578170808","0.8866344094276428",1
"IOZO13rdhwU","integrali definiti (definizione e proprietà)","Claudio Desiderio",6714,94,2,"[]",1037,"{""oscilloscope"":0.9993351,""web_site"":0.910622}","0.45884887893023063","2.869594271220858","0.2417083700764258","0.17763845133682643","192.31340050047152","0.752451200580541","6.090208806174193","0.6477399468421936",1
"w1f6o1HQBvg","Il Volo - Grande amore (2015 Videoclip)","IlVoloVEVO",120916504,614380,51448,"[""Il Volo"",""IlVolovevo"",""vevo"",""official"",""video"",""music video"",""hq"",""single"",""album"",""Grande amore"",""Columbia"",""Pop""]",224,"{""golfcart"":0.82009023}","0.002419581589623737","0.4704912797652464","0.20016320372846075","0.6384366044898845","59.596051665552615","0.6270927983882945","116.74787871282561","7.010689735412598",0
"CvKXdhB_y9I","Top 10 Paper Mario Speedrun Moments in Smash The Record 2015 - IateYourPie STR 2015 Highlights","KoiandDragon",177254,1366,60,"[""Super Smash Bros. Brawl (Video Game)"",""Super Smash Bros. Melee (Video Game)"",""Super Smash Bros. (Video Game Series)"",""Super Smash Bros. (Video Game)"",""Super Smash Bros. For Nintendo 3DS And Wii U (Video Game)"",""smash the record 2015"",""best of smash the record 2015"",""best of smash the record"",""koianddragon"",""Speedrun (Website Category)"",""Paper Mario: The Thousand-Year Door (Video Game)"",""iateyourpie paper mario"",""iateyourpie mario maker"",""iateyourpie speedrun"",""paper mario speed run""]",608,"{""traffic_light"":0.45572206,""torch"":0.630372,""scoreboard"":0.9435808,""slot"":0.94124556,""web_site"":0.97966695,""school_bus"":0.49156168,""parking_meter"":0.5778435,""vending_machine"":0.5884672}","0.00000000000","3.139251759344028","0.2093687416103749","0.5196458764326876","90.7911567533777","0.5401304823493116","26.421966323408952","2.431967258453369",0
"6S66jorlkeY","Proof that 1 = 2","aggieneer02",9533,59,24,"[""Proof"",""that"",""1"",""="",""2""]",285,"{""syringe"":0.80616254,""envelope"":0.649361,""fountain_pen"":0.63629335,""menu"":0.5470505,""ballpoint"":0.5293837}","0.008975119506221723","0.00000000000","0.17185507314328607","0.054166993515082834","139.09247805440947","0.7859227350240344","25.200434466250382","1.922019362449646",1
"VcOCCrKlXRM","Laura Pausini-Strani Amori","mateus2156",15547946,41835,2112,"[""laura"",""pausini"",""strani"",""amori"",""italy"",""song"",""finland"",""speedstream"",""speedstream130""]",256,"{}","0.00000000000","0.00000000000","0.19081241230446394","0.7396671961948587","51.07162165107217","0.6840667154635928","40.34114600941408","4.162581443786621",0
"8N1cKs9JRq0","Top 10 Must Have MacBook Pro Accessories for 2017","Pro Hacker",866903,3794,1432,"[""prophethacker"",""macbook accessories"",""macbook pro accessories"",""apple macbook pro accessories"",""apple macbook accessories"",""macbook pro 2016"",""macbook"",""macbook 2016"",""apple macbook 2016"",""apple"",""best macbook pro accessories"",""macbook pro 2016 review"",""macbook pro 16 accessories"",""apple macbook"",""macbook pro 16 usb hub"",""macbook pro 16 stand"",""macbook pro"",""2016 macbook pro"",""2016 macbook"",""gadgets"",""tech"",""technology"",""retina display"",""2016"",""12 inch macbook"",""touch bar"",""touchbar"",""accessoris"",""amazon"",""usb-c""]",990,"{""digital_clock"":0.7313685,""fountain"":0.5619124,""carton"":0.6446022,""jellyfish"":0.6312491,""lab_coat"":0.8431378,""switch"":0.8396452,""mouse"":0.46746483,""washer"":0.4679396,""mousetrap"":0.4750429,""pick"":0.7271738,""espresso_maker"":0.46937075,""traffic_light"":0.9111506,""sweatshirt"":0.5813285,""hard_disc"":0.5119914,""barbershop"":0.6204591,""pajama"":0.57103956,""lens_cap"":0.48808467,""volcano"":0.5246224,""cash_machine"":0.7864967,""crutch"":0.6381655,""Band_Aid"":0.9132402,""notebook"":0.72780645,""shoe_shop"":0.72565883,""crane"":0.5907941,""restaurant"":0.8243903,""studio_couch"":0.81005764,""dumbbell"":0.6401652,""joystick"":0.4540645,""monitor"":0.4866092,""crate"":0.6967442,""iPod"":0.9146083,""abaya"":0.7866212,""guillotine"":0.6949586,""academic_gown"":0.50210744,""street_sign"":0.5742415,""envelope"":0.68295807,""loudspeaker"":0.70979476,""desk"":0.45984295,""safe"":0.45224202,""four-poster"":0.8504034,""iron"":0.67962563,""suit"":0.6531795,""chain_saw"":0.6771973,""web_site"":0.5818189}","0.019504724088385154","1.634702700793975","0.18504117690769561","0.2710527302216729","147.01336008092852","0.7246612658073939","45.38780036450767","2.6387767791748047",0
"wutztfYqk0I","Top 10 Cringey Unluckiest Speedrun FAILS!","TheGamer",1157872,6996,3821,"[""speed run"",""choke"",""fail"",""Twitch"",""RNG"",""bad luck"",""Pokemon"",""Wind Waker"",""Super Mario"",""random"",""so close"",""Streamer"",""Final Fantasy 10"",""10"",""List"",""Fun"",""Funny"",""Family"",""Kids"",""Friends"",""Video"",""Movies"",""Popular"",""Entertaining"",""Entertainment"",""Video games"",""Games"",""Glitches"",""Glitch"",""Hidden"",""Secrets"",""Boss"",""cringey""]",658,"{""fountain"":0.9542431,""church"":0.59517604,""barbell"":0.6369426,""bubble"":0.48242363,""traffic_light"":0.7733206,""scoreboard"":0.9971842,""wardrobe"":0.6632638,""cash_machine"":0.5309621,""vending_machine"":0.7534974,""book_jacket"":0.5428122,""breastplate"":0.5096216,""monitor"":0.60875076,""window_shade"":0.9463708,""matchstick"":0.9208641,""menu"":0.65262944,""guillotine"":0.69841874,""academic_gown"":0.6978957,""street_sign"":0.79219115,""envelope"":0.5704967,""theater_curtain"":0.93423444,""stage"":0.5236004,""candle"":0.57905716,""abacus"":0.7988876,""pop_bottle"":0.52902997,""electric_guitar"":0.6181706,""refrigerator"":0.6945285,""web_site"":0.92525816,""golf_ball"":0.7526492}","0.0014552751976215637","2.041069320954348","0.1989432127983856","0.43661097338957944","88.76284613882987","0.6406913183711143","18.804899964922917","1.8732411861419678",0
"5njUvlLWoRI","2+2=6 proof by calculus","S.Ramanujan Mind",616739,3566,2865,"[""bb ki vines"",""shirley setia"",""2+2=5"",""2+2=6"",""1=2 proof"",""hinglish facts"",""total hack"",""sanam"",""technical guruji"",""ytadvise"",""my smart support"",""mathbff"",""Numberphile"",""s.ramanujan mind"",""Ramanujan"",""aaiye sikhte hai""]",290,"{""revolver"":0.61001015,""plunger"":0.5026724,""rule"":0.71208894,""matchstick"":0.9196851,""menu"":0.7502548,""ice_lolly"":0.7370868,""drumstick"":0.531892}","0.011141015175846244","0.18525199933387254","0.2048447166932615","0.06441276475026493","216.94484987384874","0.6850335280717222","19.56401447610137","1.401654601097107",1
"wEbiwj0CY4U","Regole per il Calcolo degli Integrali Definiti (10)","Marcello Dario Cerroni",7429,34,3,"[""Integral""]",814,"{""barbershop"":0.79014754,""web_site"":0.45046684}","0.008322407729852361","0.13165884545713016","0.21376747532894738","0.11862152422839387","147.360913655347","0.7520070559748019","43.9172043003634","3.809032917022705",1
"CTXcB8w5JQc","Prima lezione di INFORMATICA (prof. Giovanni Gallo)","zammù multimedia - Università di Catania",66841,360,20,"[""Università di Catania"",""Prime lezioni di"",""Informatica"",""ZammùTv"",""Cof"",""Capitt""]",3818,"{""kimono"":0.53744155,""digital_clock"":0.49023533,""stage"":0.71191865,""grand_piano"":0.6239458,""volleyball"":0.45536152,""window_shade"":0.5122338,""pajama"":0.7095065,""menu"":0.49476254,""web_site"":0.9776053,""ping-pong_ball"":0.89192176}","0.027531481312022113","3.74415411790212","0.21013918650793634","0.2789502627719174","131.86263196924602","0.7145735739087302","4.7121874132688895","0.6307041645050049",1
"MFZsxoen5Y0","FINAL BATTLE! Mastered Ultra Instinct Goku vs Jiren! Goku DEFEATED!? Dragon Ball Xenoverse 2!","Legendary Agwang",655591,8719,381,"[""Dragonball"",""Xenoverse"",""GT"",""Super"",""AF"",""Mods"",""Modding"",""Tutorial"",""Tut"",""Goku"",""Gohan"",""Trunks"",""Vegeta"",""Frieza"",""SSGSS"",""SSJ1"",""Saiyan""]",270,"{""shield"":0.57574815,""fountain"":0.896619,""pinwheel"":0.95387274,""jellyfish"":0.9332688,""maze"":0.55760044,""goldfish"":0.6465659,""bubble"":0.79536146,""obelisk"":0.59124863,""unicycle"":0.54324114,""spindle"":0.51007366,""coil"":0.69413424,""birdhouse"":0.57977706,""balloon"":0.7518723,""mountain_tent"":0.5781937,""umbrella"":0.6477684,""sea_slug"":0.6709508,""torch"":0.8522658,""quill"":0.5504018,""sundial"":0.99609935,""matchstick"":0.76886237,""balance_beam"":0.9103289,""cloak"":0.59433204,""candle"":0.5357029,""feather_boa"":0.8063431,""projectile"":0.48583427,""space_shuttle"":0.45300445,""mosquito_net"":0.54712826,""spider_web"":0.74521667}","0.001472684788930599","0.2938204872877078","0.19846030767021677","0.45362340150096303","115.03973845420843","0.6711078999582284","60.05648712697615","4.858327388763428",0
"b617FReb9YI","Eros Ramazzotti - Quanto Amore Sei","ErosRamazzottiVEVO",18006259,30455,1734,"[""Pop"",""Eros Ramazzotti"",""Sony"",""BMG"",""Music"",""Entertainment"",""Quanto Amore Sei""]",250,"{""organ"":0.50347877,""miniskirt"":0.67477316,""harp"":0.9284021,""scale"":0.6308049,""bow"":0.75826937,""pole"":0.4635162,""gown"":0.5285611,""wig"":0.45473275,""space_heater"":0.47652304,""prison"":0.83674365,""crutch"":0.49560416,""crane"":0.65889096,""book_jacket"":0.785229,""harmonica"":0.45315126,""accordion"":0.4685812,""groom"":0.6674891,""umbrella"":0.8761564,""macaw"":0.88757443,""window_shade"":0.8352688,""wall_clock"":0.75929517,""suspension_bridge"":0.63741684,""analog_clock"":0.7041896,""swing"":0.58389014,""rapeseed"":0.52068514,""fur_coat"":0.72639406,""suit"":0.69365495,""feather_boa"":0.858568,""school_bus"":0.5196273}","0.003165488311068329","0.004646938071291671","0.19473851990345048","0.39755816151495943","147.8121684880995","0.6789337446086577","66.97383201841413","3.81905198097229",0
"K-HFRtLaxqY","Super Meat Boy any% in 0:04:47","VorpalSDA",705569,4785,449,"[""Super Meat Boy (Video Game)"",""Glitch (Video Game)"",""Speedrun (Website Category)""]",476,"{""crane"":0.82114196,""mosque"":0.45922622,""bell_cote"":0.5045828,""monitor"":0.72050136,""wall_clock"":0.46571368,""jigsaw_puzzle"":0.6264386,""guillotine"":0.72651047,""stupa"":0.5441462,""altar"":0.63567287,""pick"":0.9330602,""great_grey_owl"":0.88373846,""traffic_light"":0.98818433,""scoreboard"":0.51905596,""shower_curtain"":0.59472996,""web_site"":0.90906084,""space_shuttle"":0.9701441}","0.007238577646397797","0.4331841389583841","0.17893111435793405","0.6952034368233001","109.31855273873529","0.8565940860864245","11.028657469308921","1.2851024866104126",0
"5q7BSLylhTo","MacBook Pro 13","Justin Tse",594517,6673,540,"[""jtechapple"",""jtechappletv"",""apple macbook"",""apple macbook pro"",""macbook pro 13"",""best student laptop"",""best laptop for school"",""mac vs pc"",""microsoft surface laptop"",""mac os"",""windows 10"",""microsoft surface"",""surface laptop"",""surface pro"",""macbook pro 2017"",""apple macbook pro 2017"",""2017"",""speed test"",""comparison"",""touch bar"",""touchbar"",""microsoft surface laptop vs macbook pro"",""apple"",""macbook pro review"",""microsoft surface laptop review"",""macbook pro review 2017"",""performance"",""video editing"",""gaming""]",949,"{""alp"":0.6868542,""laptop"":0.5664645,""cleaver"":0.66952914,""mouse"":0.95364636,""envelope"":0.8581665,""space_bar"":0.5754368,""computer_keyboard"":0.70405644,""iron"":0.80566555,""modem"":0.6548274,""hard_disc"":0.49862573,""binder"":0.6150655,""web_site"":0.9989785,""notebook"":0.70925975}","0.004310245655145261","0.2642141975508146","0.19988315865712303","0.17307004697120337","166.8883528885483","0.7411071649199047","32.8566463967149","2.4659221172332764",0
"HibcMLxj55g","WWDC 2018 in 6 Minutes: YouTuber Edition!","Jonathan Morrison",177681,9532,353,"[""WWDC Keynote"",""WWDC"",""WWDC 2018"",""WWDC 2018 Keynote"",""WWDC Recap"",""Recap"",""WWDC 2018 Recap"",""iOS 12"",""iOS 12 Features"",""macOS Mojave"",""macOS Mojave Features"",""MacBook"",""MacBook Pro"",""iPhone X"",""Apple"",""ios 12 beta 1"",""ios 12 released"",""ios 12 update"",""apple keynote"",""macos mojave"",""apple event june 2018"",""ios 12 rumors"",""macos"",""ios 12 release date"",""ios 12 beta"",""ios"",""iphone"",""macos 10.14"",""ios 12 new features""]",370,"{""pay-phone"":0.6604862,""stage"":0.8100457,""punching_bag"":0.53512,""remote_control"":0.69138205,""screen"":0.45756188,""greenhouse"":0.45518118,""slot"":0.9305781,""cellular_telephone"":0.528364,""parallel_bars"":0.5120056}","0.008153627673243416","0.27160852384135453","0.2051325055081665","0.46959468171977453","114.87109609981394","0.6614494373079717","29.2138487437031","2.7565290927886963",0
"J2z5uzqxJNU","Dividing by zero?","Eddie Woo",664907,14301,238,"[""math"",""maths"",""mathematics"",""Division By Zero""]",548,"{""photocopier"":0.85980546}","0.00000000000","0.30485981005402324","0.18155648048838613","0.17508849840378504","183.55526507180085","0.6952292492741378","10.380078965067176","1.2851309776306152",1
"DWKe6i-ia9c","Significato Geometrico degli Integrali ed Area tra due Curve","Elia Bombardelli",108931,1804,19,"[""integrali"",""area"",""integrali area"",""area tra due funzioni"",""analisi"",""calcolo area"",""integrali definiti"",""area grafico funzione"",""integrale"",""significato geometrico"",""grafico"",""sottografico"",""asse"",""sottesa"",""funzione"",""area sottesa al grafico"",""integrazione"",""definiti"",""definito"",""integrale definito"",""tablet pc"",""wacom"",""hp"",""video"",""lezioni"",""matematica"",""lessthan3math""]",899,"{""handkerchief"":0.45879522,""envelope"":0.6981389,""oscilloscope"":0.9788417,""slide_rule"":0.7679372,""menu"":0.45831424}","0.03689880249234653","0.4926511297888934","0.18096165502185713","0.2038947871621881","222.4564767521591","0.9515644595906559","8.387421929388895","1.8234986066818237",1
"LGW12hBxUbs","Best Mods of the Week (+ New Stage) - Dragon Ball FighterZ","BjornTheBear",216932,2880,165,"[""dragon ball fighterz"",""db fighterz"",""fighterz mods"",""dragon ball super"",""goku"",""jiren"",""vegeta"",""new dragon ball movie 2018""]",226,"{""pinwheel"":0.98797405,""fountain"":0.6455246,""rotisserie"":0.6180832,""jellyfish"":0.8070317,""bobsled"":0.73271143,""scuba_diver"":0.5305066,""maze"":0.98605925,""sarong"":0.9640909,""toyshop"":0.837359,""ski"":0.57582504,""altar"":0.60106015,""bubble"":0.9415615,""pick"":0.6791996,""garbage_truck"":0.46968937,""traffic_light"":0.6778775,""volcano"":0.8114017,""shower_curtain"":0.9308812,""mask"":0.952266,""shoe_shop"":0.7758545,""lionfish"":0.80120313,""balloon"":0.7257008,""chest"":0.55514324,""yurt"":0.66296774,""torch"":0.92662376,""matchstick"":0.52678245,""sundial"":0.70679665,""academic_gown"":0.66299844,""stage"":0.84668195,""maypole"":0.8306118,""comic_book"":0.6008975,""candle"":0.46085176,""paddlewheel"":0.524818,""cardoon"":0.70568305,""feather_boa"":0.9960014,""grille"":0.7929114,""spider_web"":0.85744804}","0.002029374701701691","3.276940945755033","0.21171747344771252","0.4163169131746896","131.74159268407863","0.5902290773080079","104.61420291121648","6.570581912994385",0
"7rULs35adVA","Presentazione del corso BIG DATA E BASI DI DATI AZIENDALI","Università Telematica Internazionale UNINETTUNO",248,2,0,"[""Big Data"",""Basi di Dati"",""Aziendali"",""Giovanni Alfredo Barbieri"",""Uninettuno"",""UTIU""]",416,"{""book_jacket"":0.56756836,""bubble"":0.91193795,""oscilloscope"":0.5895147,""slot"":0.9683248,""cash_machine"":0.6150922,""microwave"":0.5148124,""spotlight"":0.54074883,""web_site"":0.7533546,""ping-pong_ball"":0.60439503}","0.12898562230095473","2.9255883993318847","0.20845925577833474","0.3493285960362772","99.71427450695192","0.6731167576679794","19.016333297639825","1.490796446800232",1
"C6dpQWnRII0","Eros Ramazzotti - Se bastasse una canzone (Videoclip)","ErosRamazzottiVEVO",18521996,43764,1860,"[""Eros Ramazzotti"",""Pop"",""Se bastasse una canzone"",""Sony BMG Music Entertainment""]",264,"{""zebra"":0.6689779,""book_jacket"":0.5344489,""nematode"":0.63602644,""punching_bag"":0.49117213,""boa_constrictor"":0.78656554,""Arabian_camel"":0.68149436,""throne"":0.63617796,""bow"":0.73517203,""matchstick"":0.8076458,""abaya"":0.7065614,""tarantula"":0.6508325,""lion"":0.51852906,""wreck"":0.67193294,""altar"":0.5808326,""horse_cart"":0.92050904,""fur_coat"":0.60614973,""cowboy_hat"":0.6978963,""prison"":0.50199455,""space_shuttle"":0.8353524,""lumbermill"":0.87988806,""mosquito_net"":0.5627847}","0.002120650741132289","0.00000000000","0.20173409176737173","0.3009953278827521","90.38404795373165","0.7680395931240905","71.47160435452952","3.6347882747650146",0
"74Tw4sm34LQ","[World Record] Cuphead - Any% in 24:58","The Mexican Runner",636737,8215,564,"[""twitch"",""games"",""Cuphead"",""TMR"",""Complete"",""Beaten"",""TheMexicanRunner"",""NESMania"",""NES"",""Speedrun"",""SRL"",""Speed"",""Demos"",""Runs"",""Live"",""Nintendo"",""Let's Play"",""Super"",""Twitch"",""justin.tv"",""TMB"",""World Record"",""Rage Combo"",""Rage"",""Combo"",""Nintendomania"",""Games"",""Juegos"",""Runner"",""The"",""Mexican"",""Q*Bert"",""Qbert"",""Playthrough"",""Walktrough"",""Stream"",""Streamer"",""Impossible"",""Legit"",""Any%""]",1780,"{""honeycomb"":0.6332477,""comic_book"":0.99781126,""slot"":0.94166344,""web_site"":0.9687017,""school_bus"":0.916594}","0.002075081330045172","4.631501908716001","0.21524252705902255","0.5159318731608892","135.83137137913823","0.5767533434011926","20.27790282834121","1.1609793901443481",0
"pEnXNd2z9bo","Unboxing The New $5000 MacBook Pro","Unbox Therapy",3123076,55587,3821,"[""unbox therapy"",""unboxtherapy"",""( ͡° ͜ʖ ͡°)"",""tech"",""technology"",""gadgets"",""gadget"",""unboxing"",""review"",""unbox"",""therapy"",""new"",""youtube"",""macbook pro"",""new macbook pro"",""touch bar"",""macbook pro touch bar"",""2016"",""apple macbook pro"",""apple"",""macbook"",""pro"",""13"",""15"",""15 macbook pro"",""touch"",""bar"",""2016 macbook pro"",""touchbar"",""macbook pro 15"",""2016 macbook pro review"",""apple inc. (publisher)"",""macbook pro review"",""macbook pro unboxing"",""macbook touch bar"",""space grey macbook pro"",""2016 macbook pro unboxing"",""macbook pro 2016""]",386,"{""space_heater"":0.7958636,""projector"":0.58998615,""suit"":0.49974883,""iPod"":0.64232373,""hand-held_computer"":0.64591914,""academic_gown"":0.45300153,""cleaver"":0.5429603,""switch"":0.9656082,""notebook"":0.8768376}","0.0019116091224492084","3.7363245181622213","0.18674495960970033","0.27207946913169423","115.60499391731322","0.7713427307957136","18.580367574953783","1.801552176475525",0
"bjUoQbSJDJs","10 Stunning CSS 3D Effect You Must See","Red Stapler",211648,7278,310,"[""css 3d"",""css 3d animation"",""css 3d effect"",""css 3d text"",""css 3d button"",""css 3d cube"",""cool css effect"",""cool css design"",""css design idea"",""css idea"",""web design idea"",""web design inspiration"",""css3 example"",""3d css"",""css animation"",""css 3d transform animation"",""css 3d transform""]",179,"{""envelope"":0.5200912,""espresso_maker"":0.7710567,""monitor"":0.5028038,""web_site"":0.9928013}","0.0008158862821198107","1.4993300532107745","0.18344989766213668","0.5721063990970213","142.12733290870023","0.7742068721691135","8.276254455808512","0.2154410183429718",0
"KBmoWtE_4ds","UniNettuno - Basi di dati - Lezione 3","SamOfNettuno",4168,11,3,"[""ingegneria"",""uninettuno"",""nettuno"",""basi"",""di"",""dati""]",2591,"{""pay-phone"":0.697288,""bookshop"":0.501706,""cash_machine"":0.91715753}","0.10576753568751025","2.6656485072399523","0.21050956216202416","0.3157948631921185","112.3166738566217","0.7020530377427483","5.457833243884279","0.5819205641746521",1
